Timestamp,Coin Name,Price (USD),24h Change,Market Cap
2026-06-13 09:48:38,CoinMarketCap 20 Index DTF,$127.64,0.27%,"$13,000,047"
2026-06-13 09:48:38,Bitcoin,"$63,478.62",0.25%,"$1,272,271,076,875"
2026-06-13 09:48:38,Ethereum,"$1,663.42",0.22%,"$200,748,107,534"
2026-06-13 09:48:38,Tether,$0.9994,0.00%,"$186,484,958,248"
2026-06-13 09:48:38,BNB,$600.22,0.59%,"$80,901,136,547"
2026-06-13 09:48:38,USDC,$0.9997,0.00%,"$74,807,478,757"
2026-06-13 09:48:38,XRP,$1.13,0.18%,"$70,321,631,424"
2026-06-13 09:48:38,Solana,$66.72,0.38%,"$38,691,425,868"
2026-06-13 09:48:38,TRON,$0.3153,0.06%,"$29,901,173,468"
2026-06-13 09:48:38,Hyperliquid,$58.37,1.42%,"$14,798,163,998"
14-06-2026 20:02,Bitcoin,"$64,215.43",0.11%,3.54%
14-06-2026 20:02,Ethereum,"$1,666.33",0.05%,2.22%
14-06-2026 20:02,Tether,$0.9993,0.00%,0.02%
14-06-2026 20:02,BNB,$610.88,0.03%,3.42%
14-06-2026 20:02,USDC,$0.9995,0.02%,0.01%
14-06-2026 20:02,XRP,$1.13,0.22%,0.11%
14-06-2026 20:02,Solana,$67.54,0.08%,3.84%
14-06-2026 20:02,TRON,$0.3170,0.02%,3.54%
14-06-2026 20:02,Hyperliquid,$60.13,1.02%,2.14%
14-06-2026 20:02,Dogecoin,$0.08633,0.11%,2.40%
